refcat,m2,label,destacar,multipoligono
2271803UK5327S,1595,03,si,no
2271804UK5327S,1281,04,si,no
2272501UK5327S,1123,01,si,no
2274601UK5327S,21212,01,si,no
2274602UK5327S,824,02,si,no
2274603UK5327S,725,03,si,no
23686B8UK5326N,646,B8,si,no
23686B9UK5326N,1001,B9,si,no
23686C2UK5326N,636,C2,si,no
2368606UK5326N,891,06,si,no
2368608UK5326N,2567,08,si,no
2368609UK5326N,2948,09,si,no
2368610UK5326N,1098,10,si,no
2368611UK5326N,3011,11,si,no
2368612UK5326N,2394,12,si,no
2368613UK5326N,1354,13,si,no
2368614UK5326N,1369,14,si,no
2370101UK5327S,2278,01,si,no
2370402UK5327S,929,02,si,no
2370411UK5327S,1129,11,si,no
2370412UK5327S,609,12,si,no
2371602UK5327S,507,02,si,no
2371607UK5327S,684,07,si,no
2372622UK5327S,661,22,si,no
2372625UK5327S,771,25,si,no
2372645UK5327S,516,45,si,no
2372646UK5327S,516,46,si,no
2372651UK5327S,541,51,si,no
2372654UK5327S,650,54,si,si
2449102UK5324N,2110,02,si,no
2449103UK5324N,549174,03,si,no
2470315UK5327S,1164,15,si,no
2470806UK5327S,790,06,si,no
2471205UK5327S,992,05,si,no
2471519UK5327S,509,19,si,no
2471522UK5327S,627,22,si,no
2471523UK5327S,688,23,si,no
2471536UK5327S,617,36,si,no
2472604UK5327S,961,04,si,no
2472605UK5327S,1461,05,si,no
2472607UK5327S,2073,07,si,no
2472608UK5327S,903,08,si,no
2472612UK5327S,817,12,si,no
2472624UK5327S,541,24,si,no
2472632UK5327S,931,32,si,no
2472637UK5327S,968,37,si,no
2472638UK5327S,1018,38,si,no
2521101UK5322S,817910,01,si,no
2521102UK5322S,716666,02,si,no
2538101UK5323N,293041,01,si,no
2538102UK5323N,302193,02,si,no
2566201UK5326N,1956,01,si,no
2566202UK5326N,1837,02,si,no
2568502UK5326N,673,02,si,no
2568503UK5326N,543,03,si,no
2568504UK5326N,574,04,si,no
2568505UK5326N,652,05,si,no
2568506UK5326N,515,06,si,no
2568507UK5326N,651,07,si,no
2568508UK5326N,652,08,si,no
2568509UK5326N,1171,09,si,no
2568511UK5326N,651,11,si,no
2568512UK5326N,1320,12,si,no
2568513UK5326N,651,13,si,no
2568514UK5326N,652,14,si,no
2568515UK5326N,973,15,si,no
2568516UK5326N,787,16,si,no
2568517UK5326N,800,17,si,no
2568518UK5326N,570,18,si,no
2568519UK5326N,1889,19,si,no
2568520UK5326N,2015,20,si,no
2568521UK5326N,1641,21,si,no
2568522UK5326N,2613,22,si,no
2568523UK5326N,1275,23,si,no
2568525UK5326N,1119,25,si,no
2568526UK5326N,1607,26,si,no
2568527UK5326N,1548,27,si,no
2568528UK5326N,1356,28,si,no
2568529UK5326N,1361,29,si,no
2568531UK5326N,3374,31,si,no
2568536UK5326N,580,36,si,no
2568537UK5326N,516,37,si,no
2568538UK5326N,652,38,si,no
2568539UK5326N,1284,39,si,no
2568540UK5326N,1148,40,si,no
2568541UK5326N,1761,41,si,no
2568542UK5326N,651,42,si,no
