refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
4520512UK5342S0001MZ,4520512UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SD 0045,OD,OS,T,UR,Residencial,V,73109.72,13066.96,60042.76,73109.72,0.42,307.06,N,,50.00,1,1
5421534UK5352S0001OW,5421534UK5352S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SJ 0036,OD,OS,T,UR,Residencial,V,82645.00,16752.88,65892.12,82645.00,0.42,347.11,N,,50.00,1,1
2270108UK5327S0001PY,2270108UK5327S,SAN ROMAN DE LOS MONTES,CL,TALAVERA 0005,OD,OS,T,UR,Residencial,V,56553.56,22453.50,34100.06,56553.56,0.42,237.52,N,,50.00,1,1
4624753UK5342S0001TZ,4624753UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR ALBORAN 0127,OD,OS,T,UR,Residencial,V,22117.40,7236.00,14881.40,22117.40,0.42,92.89,N,,50.00,1,1
4816818UK5341N0001FL,4816818UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SI 0003,OD,OS,T,UR,Residencial,V,62678.87,15329.10,47349.77,62678.87,0.42,263.25,N,,50.00,1,1
4127210UK5342N0001FD,4127210UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0113,OD,OS,T,UR,Residencial,V,46260.72,13891.45,32369.27,46260.72,0.42,194.30,N,,50.00,1,1
3252611UK5335S0001YX,3252611UK5335S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 6R 0135,OD,OS,T,UR,Residencial,V,122787.50,14415.82,108371.68,122787.50,0.42,515.71,N,,50.00,1,1
4127219UK5342N0001ED,4127219UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0185,OD,OS,T,UR,Residencial,V,72566.22,14580.90,57985.32,72566.22,0.42,304.78,N,,50.00,1,1
3921113UK5332S0001XJ,3921113UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S1 0027,OD,OS,T,UR,Residencial,V,70152.97,14000.62,56152.35,70152.97,0.42,294.64,N,,50.00,1,1
3722713UK5332S0001ZJ,3722713UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S1 0066,OD,OS,T,UR,Residencial,V,44485.17,14448.15,30037.02,44485.17,0.42,186.84,N,,50.00,1,1
2370434UK5327S0001YY,2370434UK5327S,SAN ROMAN DE LOS MONTES,CL,GRANADILLO 0018,OD,OS,T,UR,Residencial,V,78611.98,7534.56,71077.42,78611.98,0.42,330.17,N,,50.00,1,1
4228820UK5342N0001YD,4228820UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0139,OD,OS,T,UR,Residencial,V,59998.46,13636.70,46361.76,59998.46,0.42,251.99,N,,50.00,1,1
4218813UK5341N0001RL,4218813UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SB 0024,OD,OS,T,UR,Residencial,V,100281.32,15272.91,85008.41,100281.32,0.42,421.18,N,,50.00,1,1
3748822UK5334N0001KB,3748822UK5334N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 6R 0167,OD,OS,T,UR,Residencial,V,123534.47,10780.24,112754.23,123534.47,0.42,518.84,N,,50.00,1,1
4624707UK5342S0001WZ,4624707UK5342S,SAN ROMAN DE LOS MONTES,CL,ISLA MALLORCA 0005,00,01,C,UR,Residencial,V,24567.06,2739.83,21827.23,24567.06,0.42,103.18,N,,50.00,1,1
