refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
4452406UK5345S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10983.92,10983.92,0.00,46.13,0,0,0,0,UR SERR PLAYA S 8R 0424
3853809UK5335S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,8307.63,8307.63,0.00,34.89,0,0,0,0,UR SERR PLAYA S 8R 0312
3957707UK5335N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9835.34,9835.34,0.00,41.31,0,0,0,0,UR SERR PLAYA S 8R 0314
3557414UK5335N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10844.54,10844.54,0.00,45.55,0,0,0,0,UR SERR PLAYA S 7R 0278
4624790UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,120433.11,120433.11,0.00,505.82,0,0,0,0,CL MAR ALBORAN 0100
2140101UK5324S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,13312.68,13312.68,0.00,55.91,0,0,0.86,0.86,TN SECTOR 8 0000
2752117UK5325S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,7125.76,7125.76,0.00,29.93,0,0,0.08,0.08,TN SECTOR 10 0006
2862110UK5326S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,153.53,153.53,0.00,0.64,1,0,0,0,TN SECTOR 10 0090
2953906UK5325S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12266.31,12266.31,0.00,51.52,0,0,0,0,UR SERR PLAYA S 6R 0029
3618907UK5331N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9382.60,9382.60,0.00,39.41,0,0,0,0,UR SERR PLAYA S1 0061
2368613UK5326N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,19074.13,19074.13,0.00,80.11,0,0,1,1,CL JARDINES 0007
3547223UK5334N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12227.28,12227.28,0.00,51.35,0,0,0,0,UR SERR PLAYA S 6R 0093
4719729UK5341N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11531.44,11531.44,0.00,48.43,0,0,0.5,0.5,UR SERR PLAYA SE 0009
3618905UK5331N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,14136.37,14136.37,0.00,59.37,0,0,1,1,UR SERR PLAYA S1 0059
5421505UK5352S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11556.54,11556.54,0.00,48.54,0,0,0,0,UR SERR PLAYA SJ 0008
